Location,Period2011,ART coverage 2011,Death by HIV 2011,People with HIV 2011,Total Population 2011,Period2012,ART coverage 2012,Death by HIV 2012,People with HIV 2012,Total Population 2012,Period2013,ART coverage 2013,Death by HIV 2013,People with HIV 2013,Total Population 2013,Period2014,ART coverage 2014,Death by HIV 2014,People with HIV 2014,Total Population 2014,Period2015,ART coverage 2015,Death by HIV 2015,People with HIV 2015,Total Population 2015,Period2016,ART coverage 2016,Death by HIV 2016,People with HIV 2016,Total Population 2016,Period2017,ART coverage 2017,Death by HIV 2017,People with HIV 2017,Total Population 2017,Period2018,ART coverage 2018,Death by HIV 2018,People with HIV 2018,Total Population 2018,Period2019,ART coverage 2019,Death by HIV 2019,People with HIV 2019,Total Population 2019,Period2020,ART coverage 2020,Death by HIV 2020,People with HIV 2020,Total Population 2020,Period2021,ART coverage 2021,Death by HIV 2021,People with HIV 2021,Total Population 2021
Libya,2011,37.0,100.0,5200.0,6247438.0,2012,39.0,100.0,5500.0,6285751.0,2013,40.0,100.0,5800.0,6320350.0,2014,44.0,100.0,6100.0,6362039.0,2015,48.0,100.0,6400.0,6418315.0,2016,49.0,100.0,6700.0,6492160.0,2017,50.0,100.0,7100.0,6580723.0,2018,55.0,100.0,7400.0,6678565.0,2019,44.0,200.0,7700.0,6777453.0,2020,41.0,100.0,8000.0,6871287.0,2021,41.0,200.0,8300.0,6958538.0
Benin,2011,38.0,2300.0,67000.0,9460829.0,2012,41.0,2200.0,68000.0,9729254.0,2013,36.0,2100.0,69000.0,10004594.0,2014,41.0,2400.0,70000.0,10286839.0,2015,48.0,2500.0,71000.0,10575962.0,2016,54.0,2300.0,71000.0,10872072.0,2017,54.0,2100.0,71000.0,11175192.0,2018,63.0,2100.0,70000.0,11485035.0,2019,70.0,2200.0,70000.0,11801151.0,2020,76.0,1800.0,69000.0,12123198.0,2021,84.0,1600.0,69000.0,12451031.0
Kenya,2011,38.0,49000.0,1400000.0,43178270.0,2012,43.0,44000.0,1400000.0,44343469.0,2013,46.0,40000.0,1400000.0,45519986.0,2014,53.0,38000.0,1400000.0,46700063.0,2015,63.0,35000.0,1400000.0,47878339.0,2016,72.0,30000.0,1400000.0,49051531.0,2017,78.0,26000.0,1400000.0,50221146.0,2018,76.0,23000.0,1400000.0,51392570.0,2019,77.0,21000.0,1400000.0,52573967.0,2020,78.0,22000.0,1400000.0,53771300.0,2021,78.0,22000.0,1400000.0,54985702.0
Zimbabwe,2011,39.0,51000.0,1300000.0,12894323.0,2012,45.0,41000.0,1300000.0,13115149.0,2013,52.0,36000.0,1300000.0,13350378.0,2014,58.0,32000.0,1300000.0,13586710.0,2015,64.0,30000.0,1300000.0,13814642.0,2016,70.0,28000.0,1300000.0,14030338.0,2017,79.0,27000.0,1300000.0,14236599.0,2018,82.0,25000.0,1300000.0,14438812.0,2019,87.0,23000.0,1300000.0,14645473.0,2020,91.0,22000.0,1300000.0,14862927.0,2021,91.0,20000.0,1300000.0,15092171.0
Costa Rica,2011,40.0,200.0,9300.0,4633086.0,2012,40.0,200.0,10000.0,4688003.0,2013,40.0,200.0,11000.0,4742111.0,2014,41.0,200.0,11000.0,4795390.0,2015,47.0,500.0,12000.0,4847805.0,2016,49.0,200.0,13000.0,4899336.0,2017,52.0,200.0,13000.0,4949955.0,2018,57.0,200.0,14000.0,4999443.0,2019,60.0,200.0,15000.0,5047561.0,2020,58.0,200.0,16000.0,5094114.0,2021,66.0,200.0,17000.0,5139053.0
Algeria,2011,40.0,200.0,6800.0,36661438.0,2012,45.0,200.0,7600.0,37383899.0,2013,54.0,200.0,8500.0,38140135.0,2014,62.0,200.0,9800.0,38923688.0,2015,68.0,200.0,11000.0,39728020.0,2016,73.0,200.0,13000.0,40551398.0,2017,75.0,500.0,15000.0,41389174.0,2018,78.0,500.0,16000.0,42228415.0,2019,80.0,500.0,18000.0,43053054.0,2020,80.0,500.0,20000.0,43851043.0,2021,82.0,500.0,21000.0,44616626.0
Oman,2011,40.0,100.0,1600.0,3251102.0,2012,43.0,100.0,1700.0,3498031.0,2013,47.0,100.0,1800.0,3764805.0,2014,48.0,100.0,1900.0,4027255.0,2015,47.0,100.0,2000.0,4267341.0,2016,52.0,100.0,2000.0,4479217.0,2017,56.0,100.0,2100.0,4665926.0,2018,60.0,100.0,2200.0,4829476.0,2019,65.0,100.0,2300.0,4974992.0,2020,60.0,100.0,2400.0,5106622.0,2021,65.0,100.0,2500.0,5223376.0
Zambia,2011,40.0,30000.0,1100000.0,14023199.0,2012,44.0,28000.0,1100000.0,14465148.0,2013,50.0,26000.0,1100000.0,14926551.0,2014,56.0,25000.0,1200000.0,15399793.0,2015,63.0,24000.0,1200000.0,15879370.0,2016,65.0,22000.0,1200000.0,16363449.0,2017,68.0,21000.0,1300000.0,16853608.0,2018,75.0,23000.0,1300000.0,17351714.0,2019,83.0,23000.0,1300000.0,17861034.0,2020,90.0,21000.0,1300000.0,18383956.0,2021,90.0,19000.0,1300000.0,18920657.0
Trinidad and Tobago,2011,41.0,500.0,12000.0,1336180.0,2012,46.0,500.0,12000.0,1344814.0,2013,51.0,500.0,12000.0,1353708.0,2014,54.0,500.0,12000.0,1362337.0,2015,58.0,500.0,12000.0,1370332.0,2016,58.0,500.0,11000.0,1377563.0,2017,59.0,500.0,11000.0,1384060.0,2018,65.0,500.0,11000.0,1389841.0,2019,70.0,500.0,11000.0,1394969.0,2020,65.0,500.0,11000.0,1399491.0,2021,65.0,500.0,11000.0,1403374.0
Barbados,2011,42.0,100.0,2200.0,282987.0,2012,45.0,100.0,2200.0,283698.0,2013,47.0,100.0,2300.0,284294.0,2014,48.0,100.0,2300.0,284825.0,2015,49.0,100.0,2300.0,285327.0,2016,51.0,100.0,2300.0,285798.0,2017,54.0,100.0,2300.0,286229.0,2018,56.0,100.0,2400.0,286640.0,2019,59.0,100.0,2400.0,287021.0,2020,59.0,100.0,2400.0,287371.0,2021,60.0,100.0,2400.0,287708.0
Ethiopia,2011,42.0,22000.0,640000.0,90139928.0,2012,45.0,19000.0,640000.0,92726982.0,2013,50.0,16000.0,640000.0,95385793.0,2014,57.0,16000.0,640000.0,98094264.0,2015,61.0,16000.0,630000.0,100835453.0,2016,67.0,16000.0,630000.0,103603461.0,2017,70.0,15000.0,630000.0,106399926.0,2018,72.0,14000.0,620000.0,109224410.0,2019,76.0,14000.0,620000.0,112078727.0,2020,78.0,13000.0,620000.0,114963583.0,2021,78.0,12000.0,610000.0,117876226.0
Greece,2011,45.0,100.0,11000.0,11104899.0,2012,46.0,100.0,12000.0,11045011.0,2013,49.0,100.0,13000.0,10965211.0,2014,52.0,100.0,14000.0,10892413.0,2015,56.0,100.0,14000.0,10820883.0,2016,60.0,100.0,14000.0,10775971.0,2017,63.0,100.0,15000.0,10754679.0,2018,67.0,100.0,15000.0,10732882.0,2019,69.0,100.0,15000.0,10721582.0,2020,70.0,100.0,16000.0,10700556.0,2021,70.0,100.0,17000.0,10664568.0
Romania,2011,46.0,500.0,17000.0,20147528.0,2012,47.0,500.0,17000.0,20058035.0,2013,51.0,500.0,17000.0,19983693.0,2014,55.0,500.0,18000.0,19908979.0,2015,59.0,500.0,18000.0,19815616.0,2016,60.0,500.0,18000.0,19702267.0,2017,62.0,500.0,19000.0,19588715.0,2018,63.0,500.0,19000.0,19473970.0,2019,66.0,500.0,19000.0,19371648.0,2020,65.0,500.0,20000.0,19257520.0,2021,66.0,500.0,20000.0,19115146.0
Rwanda,2011,46.0,5600.0,220000.0,10293333.0,2012,53.0,5000.0,220000.0,10549668.0,2013,59.0,4600.0,220000.0,10811538.0,2014,65.0,4100.0,220000.0,11083629.0,2015,71.0,3800.0,220000.0,11369066.0,2016,79.0,3600.0,230000.0,11668829.0,2017,82.0,3400.0,230000.0,11980960.0,2018,85.0,3100.0,230000.0,12301969.0,2019,88.0,2900.0,230000.0,12626938.0,2020,90.0,2700.0,230000.0,12952209.0,2021,93.0,2400.0,230000.0,13276517.0
Guyana,2011,47.0,100.0,7200.0,752029.0,2012,50.0,100.0,7500.0,755388.0,2013,52.0,100.0,7700.0,759281.0,2014,54.0,200.0,8000.0,763371.0,2015,55.0,200.0,8200.0,767433.0,2016,58.0,200.0,8500.0,771363.0,2017,60.0,200.0,8700.0,775218.0,2018,62.0,200.0,9000.0,779007.0,2019,65.0,200.0,9200.0,782775.0,2020,62.0,200.0,9500.0,786559.0,2021,63.0,200.0,9700.0,790329.0
Argentina,2011,50.0,1400.0,110000.0,41261490.0,2012,53.0,1400.0,110000.0,41733271.0,2013,55.0,1300.0,110000.0,42202935.0,2014,57.0,1300.0,120000.0,42669500.0,2015,59.0,1300.0,120000.0,43131966.0,2016,61.0,1300.0,120000.0,43590368.0,2017,63.0,1300.0,130000.0,44044811.0,2018,65.0,1400.0,130000.0,44494502.0,2019,67.0,1400.0,130000.0,44938712.0,2020,69.0,1400.0,140000.0,45376763.0,2021,72.0,1300.0,140000.0,45808747.0
Namibia,2011,50.0,3700.0,190000.0,2156698.0,2012,55.0,3700.0,190000.0,2194777.0,2013,58.0,3400.0,200000.0,2233506.0,2014,57.0,3100.0,200000.0,2273426.0,2015,64.0,3100.0,200000.0,2314901.0,2016,64.0,3500.0,210000.0,2358044.0,2017,72.0,3500.0,210000.0,2402623.0,2018,76.0,3800.0,210000.0,2448300.0,2019,83.0,3500.0,210000.0,2494524.0,2020,85.0,3200.0,210000.0,2540916.0,2021,91.0,2900.0,220000.0,2587344.0
Croatia,2011,51.0,100.0,1100.0,4280622.0,2012,54.0,100.0,1200.0,4267558.0,2013,57.0,100.0,1300.0,4255689.0,2014,61.0,100.0,1300.0,4238389.0,2015,67.0,100.0,1400.0,4203604.0,2016,71.0,100.0,1500.0,4174349.0,2017,74.0,100.0,1500.0,4124531.0,2018,75.0,100.0,1600.0,4087843.0,2019,78.0,100.0,1600.0,4065253.0,2020,77.0,100.0,1700.0,4047680.0,2021,77.0,100.0,1800.0,3899000.0
